|       | 007 Legends                                                              | Activision                             | Xbox 360 | 2012 | NTSC (NA)
|       | Red Seeds Profile                                           | Marvelous Entertainment                | Xbox 360 | 2010 | NTSC (JP)
|       | RIDE                                                        | Intergrow                              | Xbox 360 | 2015 | NTSC (JP)
|       | Ridge Racer 6                                               | Namco                                  | Xbox 360 | 2005 | NTSC (JP)
|       | Riot Act                                                    | Microsoft Game Studios                 | Xbox 360 | 2007 | NTSC (JP)
|       | Riot Act 2                                                  | Microsoft Game Studios                 | Xbox 360 | 2010 | NTSC (JP)
|       | Rise of Nightmares                                          | Sega                                   | Xbox 360 | 2011 | NTSC (JP)
|       | Rise of the Tomb Raider                                     | Microsoft Game Studios                 | Xbox 360 | 2015 | NTSC (JP)
|       | Risen 2: Dark Waters                                        | Ubisoft                                | Xbox 360 | 2013 | NTSC (JP)
|       | Robotics;Notes                                              | 5pb                                    | Xbox 360 | 2012 | NTSC (JP)
|       | Rocksmith                                                   | Ubisoft                                | Xbox 360 | 2012 | NTSC (JP)
|       | Rocksmith 2014 Edition                                      | Ubisoft                                | Xbox 360 | 2013 | NTSC (JP)
|       | Rockstar Games presents Table Tennis                        | Microsoft Game Studios                 | Xbox 360 | 2006 | NTSC (JP)
|       | Root Double: Before Crime * After Days                      | Yeti                                   | Xbox 360 | 2012 | NTSC (JP)
|       | Rumble Roses XX                                             | Konami                                 | Xbox 360 | 2006 | NTSC (JP)
|       | Sacred 2: Fallen Angel                                      | Spike                                  | Xbox 360 | 2010 | NTSC (JP)
|       | Saints Row                                                  | THQ                                    | Xbox 360 | 2007 | NTSC (JP)
|       | Saints Row 2                                                | THQ                                    | Xbox 360 | 2008 | NTSC (JP)
|       | Saints Row IV                                               | Spike Chunsoft                         | Xbox 360 | 2014 | NTSC (JP)
|       | Saints Row: The Third                                       | THQ                                    | Xbox 360 | 2011 | NTSC (JP)
|       | Sakura Flamingo Archives                                    | Klon Co., Ltd.                         | Xbox 360 | 2014 | NTSC (JP)
|       | Samurai Dou 3                                               | Spike                                  | Xbox 360 | 2009 | NTSC (JP)
|       | Samurai Spirits Sen                                         | SNK Playmore                           | Xbox 360 | 2009 | NTSC (JP)
|       | SBK X: Superbike World Championship - JP Edition            | Russel                                 | Xbox 360 | 2010 | NTSC (JP)
|       | ScreamRide                                                  | Microsoft Game Studios                 | Xbox 360 | 2015 | NTSC (JP)
|       | Sega Rally Revo                                             | Sega                                   | Xbox 360 | 2008 | NTSC (JP)
|       | Sengoku Hime 2: Senran no Yo, Gunyuu Arashi no Gotoku       | SystemSoft                             | Xbox 360 | 2010 | NTSC (JP)
|       | Sengoku Musou 2                                             | Koei                                   | Xbox 360 | 2006 | NTSC (JP)
|       | Sengoku Musou 2 with Moushouden                             | Koei                                   | Xbox 360 | 2008 | NTSC (JP)
|       | Senko no Ronde DUO                                          | G.Rev                                  | Xbox 360 | 2010 | NTSC (JP)
|       | Senko No Ronde Rev.X                                        | Sega                                   | Xbox 360 | 2006 | NTSC (JP)
|       | Sesame Street: Once Upon a Monster                          | Warner Bros. Interactive Entertainment | Xbox 360 | 2012 | NTSC (JP)
|       | Shadowrun                                                   | Microsoft Game Studios                 | Xbox 360 | 2007 | NTSC (JP)
|       | Shadows of the Damned                                       | Electronic Arts                        | Xbox 360 | 2011 | NTSC (JP)
|       | Sharin no Kuni,  Himawari no Shoujo                         | 5pb                                    | Xbox 360 | 2010 | NTSC (JP)
|       | Shaun White Skateboarding                                   | Ubisoft                                | Xbox 360 | 2010 | NTSC (JP)
|       | Shiei no Sona-Nyl Refrain: What a Beautiful Memories        | Liar Soft                              | Xbox 360 | 2014 | NTSC (JP)
|       | Shikigami no Shiro III                                      | Arc System Works                       | Xbox 360 | 2007 | NTSC (JP)
|       | Shin Hokuto Musou                                           | Koei Tecmo Games                       | Xbox 360 | 2012 | NTSC (JP)
|       | Shin Sangoku Musou 4 Empires                                | Koei                                   | Xbox 360 | 2006 | NTSC (JP)
|       | Shin Sangoku Musou 4 Special                                | Koei                                   | Xbox 360 | 2005 | NTSC (JP)
|       | Shin Sangoku Musou 5                                        | Koei                                   | Xbox 360 | 2007 | NTSC (JP)
|       | Shin Sangoku Musou 5 Empires                                | Koei                                   | Xbox 360 | 2009 | NTSC (JP)
